sector,project,account_item,status,request_id,code,vendor,amount_total,amount_paid,amount_canceled,amount_remaining,source_request_date,payment_request_date,approval_date,payment_date,Time
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011266,مؤسسة روعة الأمثال للمقاولات العامة,"17,770","17,770",0,0,45830,,45830,45830,
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011470,مؤسسة انجاز و امتياز للمقاولات العامة,"30,000","30,000",0,0,45811,45841,45841,45841,1118-7-3
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011470,مؤسسة انجاز و امتياز للمقاولات العامة,"18,562","18,562",0,0,45811,45844,45844,45844,432-7-6
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011443,شركة تطوير المعرفة للمقاولات العامة,"5,750","5,750",0,0,45830,,,,
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011443,شركة تطوير المعرفة للمقاولات العامة,"18,077","18,077",0,0,45787,-,45792,45792,
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011443,شركة تطوير المعرفة للمقاولات العامة,"15,230","15,230",0,0,45830,45830,45830,45830,1111-6-22
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011443,شركة تطوير المعرفة للمقاولات العامة,"11,076","11,076",0,0,45830,45841,45841,45841,1118-7-3
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011443,شركة تطوير المعرفة للمقاولات العامة,"10,000","10,000",0,0,45790,-,45792,45792,
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011443,شركة تطوير المعرفة للمقاولات العامة,"5,230","5,230",0,0,45790,-,45830,45830,
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011443,شركة تطوير المعرفة للمقاولات العامة,"15,702","15,702",0,0,45830,,45834,45834,
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011443,شركة تطوير المعرفة للمقاولات العامة,"7,201","7,201",0,0,45830,,45844,45844,432-7-6
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,,,2103011443,شركة تطوير المعرفة للمقاولات العامة,"6,029","6,029",0,0,45811,,45853,45853,517-7-15
