sector,project,account_item,status,request_id,code,vendor,amount_total,amount_paid,amount_canceled,amount_remaining,source_request_date,payment_request_date,approval_date,payment_date
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011266,مؤسسة روعة الأمثال للمقاولات العامة,17770,17770,0,0,6/22/2025,1900-01-00,6/22/2025,6/22/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011470,مؤسسة انجاز و امتياز للمقاولات العامة,30000,30000,0,0,6/3/2025,7/3/2025,7/3/2025,7/3/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011470,مؤسسة انجاز و امتياز للمقاولات العامة,18562,18562,0,0,6/3/2025,7/6/2025,7/6/2025,7/6/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011443,شركة تطوير المعرفة للمقاولات العامة,5750,5750,0,0,6/22/2025,1900-01-00,1900-01-00,1900-01-00
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011443,شركة تطوير المعرفة للمقاولات العامة,18077,18077,0,0,5/10/2025,-,5/15/2025,5/15/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011443,شركة تطوير المعرفة للمقاولات العامة,15230,15230,0,0,6/22/2025,6/22/2025,6/22/2025,6/22/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011443,شركة تطوير المعرفة للمقاولات العامة,11076,11076,0,0,6/22/2025,7/3/2025,7/3/2025,7/3/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011443,شركة تطوير المعرفة للمقاولات العامة,10000,10000,0,0,5/13/2025,-,5/15/2025,5/15/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011443,شركة تطوير المعرفة للمقاولات العامة,5230,5230,0,0,5/13/2025,-,6/22/2025,6/22/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011443,شركة تطوير المعرفة للمقاولات العامة,15702,15702,0,0,6/22/2025,1900-01-00,6/26/2025,6/26/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011443,شركة تطوير المعرفة للمقاولات العامة,7201,7201,0,0,6/22/2025,1900-01-00,7/6/2025,7/6/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011443,شركة تطوير المعرفة للمقاولات العامة,6029,6029,0,0,6/3/2025,1900-01-00,7/15/2025,7/15/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011281,مؤسسة انجاز المبدع للمقاولات,10473,10473,0,0,6/22/2025,1900-01-00,6/22/2025,6/22/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011281,مؤسسة انجاز المبدع للمقاولات,9405,9405,0,0,6/3/2025,7/3/2025,7/3/2025,7/3/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011281,مؤسسة انجاز المبدع للمقاولات,2588,2588,0,0,5/18/2025,-,7/6/2025,7/6/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,2103,2103011281,مؤسسة انجاز المبدع للمقاولات,9238,9238,0,0,6/3/2025,1900-01-00,7/15/2025,7/15/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011131,مؤسسة منال عايض بن قاعد العتيبي للمقاولات العامة,10216,10216,0,0,6/3/2025,1900-01-00,7/6/2025,7/6/2025
قطاع المياة والصرف الصحي,شبكات وخطوط مياه العوينة,مقاولين الباطن,Paid,0,2103011131,مؤسسة منال عايض بن قاعد العتيبي للمقاولات العامة,20000,20000,0,0,6/3/2025,7/3/2025,7/3/2025,7/3/2025
